year_week,date,n_clusters,n_locations
2015-27,2015-07-03,42,135
2015-29,2015-07-16,42,160
2015-32,2015-08-06,47,182
2015-33,2015-08-11,46,181
2015-34,2015-08-17,46,127
2015-35,2015-08-25,42,109
2015-36,2015-08-31,46,142
2015-37,2015-09-07,46,146
2015-38,2015-09-14,50,166
2015-39,2015-09-22,55,199
2015-40,2015-09-28,52,196
2015-41,2015-10-05,56,195
2015-42,2015-10-12,59,198
2015-43,2015-10-19,50,145
2015-44,2015-10-26,52,144
2015-45,2015-11-02,58,159
2015-46,2015-11-09,58,155
2015-47,2015-11-16,51,160
2015-48,2015-11-23,39,138
2015-49,2015-11-30,41,148
2015-50,2015-12-07,47,180
2015-51,2015-12-14,60,235
2015-52,2015-12-21,75,301
2015-53,2015-12-28,75,308
2016-01,2016-01-04,97,383
2016-02,2016-01-11,108,460
2016-03,2016-01-18,129,589
2016-04,2016-01-26,151,689
2016-05,2016-02-01,151,723
2016-06,2016-02-10,141,681
2016-07,2016-02-15,124,612
2016-08,2016-02-23,136,536
2016-09,2016-03-01,130,507
2016-10,2016-03-07,120,469
2016-11,2016-03-14,97,374
2016-12,2016-03-22,90,388
2016-13,2016-03-29,77,314
2016-14,2016-04-04,78,308
2016-15,2016-04-11,71,269
2016-16,2016-04-18,52,232
2016-17,2016-04-25,54,229
2016-18,2016-05-03,61,250
2016-19,2016-05-09,49,206
2016-21,2016-05-24,41,147
2016-22,2016-05-30,42,159
2016-23,2016-06-06,37,159
2016-24,2016-06-13,44,161
2016-25,2016-06-20,32,147
2016-26,2016-06-30,35,132
2016-27,2016-07-04,36,135
2016-28,2016-07-12,46,187
2016-29,2016-07-18,44,199
2016-30,2016-07-26,43,216
2016-31,2016-08-01,51,236
2016-32,2016-08-10,43,211
2016-33,2016-08-16,41,151
2016-34,2016-08-23,48,179
2016-35,2016-08-29,58,199
2016-36,2016-09-05,59,182
2016-37,2016-09-13,64,203
2016-38,2016-09-19,40,162
2016-39,2016-09-26,35,125
2016-40,2016-10-03,26,105
2016-41,2016-10-10,28,104
2016-42,2016-10-17,23,84
2016-43,2016-10-24,20,66
2016-44,2016-10-31,13,55
2016-45,2016-11-07,12,54
2016-46,2016-11-14,10,54
2016-47,2016-11-21,8,19
2016-48,2016-11-28,7,20
2016-49,2016-12-05,14,30
2016-50,2016-12-12,11,26
2016-51,2016-12-19,10,22
2016-52,2016-12-27,12,33
2017-01,2017-01-03,10,33
2017-02,2017-01-09,11,32
2017-03,2017-01-16,12,34
2017-04,2017-01-23,15,37
2017-05,2017-01-31,12,31
2017-06,2017-02-06,8,22
2017-07,2017-02-13,13,30
2017-08,2017-02-20,9,25
2017-09,2017-02-27,9,19
2017-10,2017-03-07,4,12
2017-11,2017-03-13,4,11
2017-12,2017-03-20,1,2
2017-14,2017-04-03,2,6
2017-15,2017-04-10,5,13
2017-16,2017-04-17,5,10
2017-17,2017-04-24,4,11
2017-18,2017-05-02,3,8
2017-19,2017-05-08,1,2
2017-20,2017-05-15,5,9
2017-21,2017-05-22,7,11
2017-22,2017-05-29,6,12
2017-23,2017-06-05,8,21
2017-24,2017-06-12,8,21
2017-25,2017-06-19,6,14
2017-26,2017-06-28,12,35
2017-27,2017-07-03,15,36
2017-28,2017-07-10,8,21
2017-29,2017-07-17,6,14
2017-30,2017-07-24,7,20
2017-31,2017-07-31,8,18
2017-32,2017-08-10,7,23
2017-33,2017-08-14,7,23
2017-34,2017-08-21,8,26
2017-35,2017-08-29,3,18
2017-36,2017-09-04,7,26
2017-37,2017-09-11,7,21
2017-38,2017-09-18,5,10
2017-39,2017-09-25,6,14
2017-40,2017-10-02,2,5
2017-41,2017-10-09,7,16
2017-42,2017-10-16,5,14
2017-43,2017-10-23,6,10
2017-44,2017-10-30,11,22
2017-45,2017-11-06,8,22
2017-46,2017-11-14,6,12
2017-47,2017-11-20,5,12
2017-48,2017-11-27,7,17
2017-49,2017-12-04,4,11
2017-51,2017-12-18,4,12
2017-52,2017-12-26,10,23
2018-01,2018-01-02,6,17
2018-02,2018-01-11,7,22
2018-03,2018-01-15,7,17
2018-04,2018-01-22,7,22
2018-05,2018-01-29,5,18
2018-06,2018-02-05,6,29
2018-07,2018-02-12,7,35
2018-08,2018-02-19,4,15
2018-09,2018-02-26,1,2
2018-10,2018-03-05,3,5
2018-11,2018-03-12,8,12
2018-12,2018-03-20,5,12
2018-13,2018-03-26,4,11
2018-14,2018-04-02,5,13
2018-15,2018-04-09,7,20
2018-16,2018-04-16,9,21
2018-17,2018-04-23,10,29
2018-18,2018-04-30,8,30
2018-19,2018-05-07,6,30
2018-20,2018-05-14,4,28
2018-21,2018-05-21,6,34
2018-22,2018-05-28,11,51
2018-23,2018-06-04,12,56
2018-24,2018-06-11,11,42
2018-25,2018-06-18,10,30
2018-26,2018-06-25,8,21
2018-27,2018-07-02,11,27
2018-28,2018-07-09,11,28
2018-29,2018-07-16,7,25
2018-30,2018-07-23,6,15
2018-31,2018-07-30,7,17
2018-32,2018-08-06,6,16
2018-33,2018-08-13,12,31
2018-34,2018-08-20,11,26
2018-35,2018-08-27,9,25
2018-36,2018-09-03,10,26
2018-37,2018-09-10,10,28
2018-38,2018-09-17,9,27
2018-39,2018-09-25,13,37
2018-40,2018-10-01,10,27
2018-41,2018-10-08,11,27
2018-42,2018-10-15,11,28
2018-43,2018-10-22,9,20
2018-44,2018-10-29,10,34
2018-45,2018-11-05,14,40
2018-46,2018-11-16,14,58
2018-47,2018-11-19,15,59
2018-48,2018-11-26,16,72
2018-49,2018-12-03,17,75
2018-50,2018-12-10,18,64
2018-51,2018-12-17,18,59
2018-52,2018-12-24,29,86
2019-01,2018-12-31,25,95
2019-02,2019-01-07,31,132
2019-03,2019-01-14,54,221
2019-04,2019-01-21,56,251
2019-05,2019-01-29,49,250
2019-14,2019-04-03,31,101
2019-15,2019-04-09,26,95
2019-16,2019-04-16,29,88
2019-17,2019-04-23,25,83
2019-18,2019-04-29,28,96
2019-19,2019-05-06,30,126
2019-20,2019-05-13,44,187
2019-21,2019-05-22,61,288
2019-22,2019-05-27,72,337
2019-23,2019-06-03,96,446
2019-24,2019-06-10,108,504
2019-25,2019-06-19,128,625
2019-26,2019-06-26,113,610
2019-27,2019-07-02,131,709
2019-28,2019-07-08,161,822
2019-29,2019-07-16,185,954
2019-30,2019-07-26,176,919
2019-32,2019-08-08,167,894
2019-33,2019-08-16,148,849
2019-34,2019-08-23,158,778
2019-35,2019-08-30,144,728
2019-36,2019-09-06,117,622
2019-37,2019-09-13,92,533
2019-38,2019-09-20,93,568
2019-39,2019-09-27,92,509
2019-40,2019-10-04,68,378
2019-41,2019-10-11,61,322
2019-42,2019-10-18,75,349
2019-43,2019-10-25,70,324
2019-44,2019-11-01,75,348
2019-45,2019-11-08,91,375
2019-46,2019-11-15,91,421
2019-47,2019-11-22,79,407
2019-48,2019-11-29,76,432
2019-49,2019-12-06,66,414
2019-50,2019-12-13,67,358
2019-51,2019-12-20,70,353
2019-52,2019-12-27,62,352
2020-01,2020-01-03,84,404
2020-02,2020-01-10,106,405
2020-03,2020-01-17,104,422
2020-04,2020-01-24,98,416
2020-05,2020-01-31,92,387
2020-06,2020-02-07,106,422
2020-07,2020-02-14,108,461
2020-08,2020-02-21,110,478
2020-09,2020-02-28,108,473
2020-10,2020-03-06,105,459
2020-11,2020-03-13,112,482
2020-12,2020-03-20,101,437
2020-13,2020-03-27,110,468
2020-14,2020-04-03,110,453
2020-15,2020-04-09,103,425
2020-16,2020-04-17,102,409
2020-17,2020-04-24,118,429
2020-18,2020-04-30,114,416
2020-19,2020-05-08,105,387
2020-20,2020-05-15,129,509
2020-21,2020-05-22,149,593
2020-22,2020-05-29,164,691
2020-23,2020-06-05,186,839
2020-27,2020-07-03,347,1965
2020-32,2020-08-07,393,3000
2020-38,2020-09-18,251,2108
2020-45,2020-11-06,133,622
