category,label,metric,value
yearly,2012_mean_q,mean_q,0.8368353929912852
yearly,2012_mean_p_sustain,mean_p_sustain,0.16316460700871488
yearly,2012_weeks_sustained,weeks_sustained,0
yearly,2012_mean_Rt,mean_Rt,1.0687355315306122
yearly,2013_mean_q,mean_q,0.7613655819798243
yearly,2013_mean_p_sustain,mean_p_sustain,0.2386344180201757
yearly,2013_weeks_sustained,weeks_sustained,9
yearly,2013_mean_Rt,mean_Rt,1.128089955673077
yearly,2014_mean_q,mean_q,0.8550946700858011
yearly,2014_mean_p_sustain,mean_p_sustain,0.14490532991419888
yearly,2014_weeks_sustained,weeks_sustained,6
yearly,2014_mean_Rt,mean_Rt,0.9948455782692308
yearly,2015_mean_q,mean_q,0.8460352553520272
yearly,2015_mean_p_sustain,mean_p_sustain,0.15396474464797283
yearly,2015_weeks_sustained,weeks_sustained,5
yearly,2015_mean_Rt,mean_Rt,1.0663382540384616
yearly,2016_mean_q,mean_q,0.9232812211916341
yearly,2016_mean_p_sustain,mean_p_sustain,0.07671877880836589
yearly,2016_weeks_sustained,weeks_sustained,3
yearly,2016_mean_Rt,mean_Rt,0.9295604776470588
yearly,2017_mean_q,mean_q,0.8529103700951547
yearly,2017_mean_p_sustain,mean_p_sustain,0.14708962990484528
yearly,2017_weeks_sustained,weeks_sustained,3
yearly,2017_mean_Rt,mean_Rt,1.0276177627118643
yearly,2018_mean_q,mean_q,0.8193812743227459
yearly,2018_mean_p_sustain,mean_p_sustain,0.18061872567725415
yearly,2018_weeks_sustained,weeks_sustained,5
yearly,2018_mean_Rt,mean_Rt,1.0760348194230769
yearly,2019_mean_q,mean_q,0.7741487909779776
yearly,2019_mean_p_sustain,mean_p_sustain,0.2258512090220224
yearly,2019_weeks_sustained,weeks_sustained,10
yearly,2019_mean_Rt,mean_Rt,1.1075208458653847
yearly,2020_mean_q,mean_q,0.8193055773844258
yearly,2020_mean_p_sustain,mean_p_sustain,0.1806944226155742
yearly,2020_weeks_sustained,weeks_sustained,9
yearly,2020_mean_Rt,mean_Rt,1.044344519019608
yearly,2021_mean_q,mean_q,0.9023709203217007
yearly,2021_mean_p_sustain,mean_p_sustain,0.09762907967829922
yearly,2021_weeks_sustained,weeks_sustained,3
yearly,2021_mean_Rt,mean_Rt,0.9549947080769231
yearly,2022_mean_q,mean_q,0.7354193537065971
yearly,2022_mean_p_sustain,mean_p_sustain,0.264580646293403
yearly,2022_weeks_sustained,weeks_sustained,18
yearly,2022_mean_Rt,mean_Rt,1.1695063365384615
correlation,Rt_vs_q_spearman,spearman_rho,-0.9381
serotype_switch,n_switches_increase,n_switches_increase,5
serotype_switch,n_switches_total,n_switches_total,7
serotype_switch,mean_delta_p_sustain,mean_delta_p_sustain,0.0594
