variable,median,q5,q95,lag_weeks,divergences
temp_effect,1.0492429,1.028114075,1.0714297750000001,2,0
rain_effect,1.0124068,0.995246526,1.03020352,2,0
prop_climate,0.0264789965,0.009458807765,0.0527660226,2,0
prop_residual,0.973521,0.947233982,0.990541193,2,0
alpha,0.306766995,0.27439996949999995,0.3433210605,2,0
rho,2.9295313,2.159922055,3.73749416,2,0
mu,0.0156201555,-0.04012006064999999,0.07203112089999998,2,0
temp_effect,1.0247122499999999,1.00441351,1.0458723699999999,3,0
rain_effect,0.98689991,0.97037484,1.00306155,3,0
prop_climate,0.013301639,0.003198073125,0.03100403034999999,3,0
prop_residual,0.98669836,0.968995966,0.9968019294999999,3,0
alpha,0.31075729500000004,0.277647019,0.35171887549999997,3,0
rho,2.83547995,2.126430385,3.630084205,3,0
mu,0.016110822,-0.04336101524999999,0.07230662564999997,3,0
temp_effect,0.985775505,0.9663757669999999,1.0069663999999998,4,0
rain_effect,0.99950085,0.9821208335,1.017533955,4,0
prop_climate,0.0039804169,2.743949875000001e-4,0.01470030925,4,0
prop_residual,0.99601958,0.9852996945,0.9997256095,4,0
alpha,0.3113998,0.2787590850000001,0.35033078399999995,4,0
rho,2.76204925,2.0338299450000004,3.5506457299999994,4,0
mu,0.016192017,-0.0391733747,0.0714491875,4,0
temp_effect,0.96398062,0.9447008530000001,0.9846549490000001,6,0
rain_effect,1.0060447,0.988799811,1.023416005,6,0
prop_climate,0.019423179,0.00582575972,0.0410165479,6,0
prop_residual,0.98057682,0.9589834495,0.99417424,6,0
alpha,0.309603275,0.276452784,0.34759900499999996,6,0
rho,2.9326069500000003,2.1790770449999997,3.759206285,6,0
mu,0.0157437465,-0.0432077227,0.07423143914999998,6,0
