expansion_factor,serotype,R0_estimate,correlation_with_GP,RMSE_with_GP
6,DENV-1,1.5161056104457529,NA,NA
6,DENV-2,1.7642984925560783,NA,NA
6,DENV-3,1.800998750560037,NA,NA
6,DENV-4,1.7826054157794708,NA,NA
8,DENV-1,1.5161056104457529,NA,NA
8,DENV-2,1.7642984925560783,NA,NA
8,DENV-3,1.800998750560037,NA,NA
8,DENV-4,1.7826054157794708,NA,NA
10,DENV-1,1.5161056104457529,NA,NA
10,DENV-2,1.7642984925560783,NA,NA
10,DENV-3,1.800998750560037,NA,NA
10,DENV-4,1.7826054157794708,NA,NA
14,DENV-1,1.5161056104457529,NA,NA
14,DENV-2,1.7642984925560783,NA,NA
14,DENV-3,1.800998750560037,NA,NA
14,DENV-4,1.7826054157794708,NA,NA
