lag,ccf_vs_entropy,ccf_vs_turnover_rate
-12,0.032959405772640615,0.0583178460351705
-11,0.037692674072111645,0.0014014737784407488
-10,0.03242205553976558,-0.06804885104851485
-9,0.021790737407088943,-0.10138661121174729
-8,0.002099320715494132,-0.05043568815870009
-7,-0.024305162494471125,-0.025369723661228777
-6,-0.05454115432362843,-0.038541212370164245
-5,-0.0803414210812438,-0.09666280734568512
-4,-0.09755987770522417,-0.11352150829095364
-3,-0.10390492825724282,-0.10515222538312606
-2,-0.09943433192725452,-0.10025837064089531
-1,-0.08812394627118164,-0.048764712474872435
0,-0.07542411399393882,-0.02946319503987622
1,-0.07175914595660159,-0.06965861009392212
2,-0.06690860099816383,-0.08123191651556512
3,-0.06101909446985039,-0.12477246454302245
4,-0.06099359292797216,-0.05397369446714952
5,-0.05172708262933132,-0.016028978115970257
6,-0.03466047045789946,0.011590004367699011
7,4.4517547059882035e-4,0.14197476866774028
8,0.03411343027440895,0.22722781013594695
9,0.0588620258620523,0.18759475706099893
10,0.08096227008668004,0.09744543586831651
11,0.09597955298456409,0.0763681699487411
12,0.10257753250482135,-0.040402348253956846
