metric,year,period,phase,value,lower,upper,note
annual_mean_S_index,2012,NA,NA,1.0475847906774707,0.8798283145042299,1.2493131039773302,
annual_mean_S_index,2013,NA,NA,1.104380610606171,0.945929332365852,1.2933340173310959,
annual_mean_S_index,2014,NA,NA,0.9797913991891334,0.8402146770530208,1.147864934155438,
annual_mean_S_index,2015,NA,NA,1.0542970465922348,0.8998220372425563,1.2400618872602325,
annual_mean_S_index,2016,NA,NA,0.9207431911071761,0.7842794792167915,1.0840014830506883,
annual_mean_S_index,2017,NA,NA,1.0131176479323174,0.8392595602069953,1.2210873698300775,
annual_mean_S_index,2018,NA,NA,1.0635357854839644,0.8832833045858544,1.2769560845922756,
annual_mean_S_index,2019,NA,NA,1.0984279684827394,0.9387962134136998,1.2873396554226213,
annual_mean_S_index,2020,NA,NA,1.032105259252856,0.8860495743205377,1.2060718244022606,
annual_mean_S_index,2021,NA,NA,0.9347472877722686,0.7856598961596065,1.1125745994553902,
annual_mean_S_index,2022,NA,NA,1.1450989892034056,0.9789880706026155,1.343317327520684,
overall_spearman_rho,NA,NA,NA,0.14433076659530542,NA,NA,p = 0.0005
period_spearman_rho,NA,1,NA,-0.08939393939393939,NA,NA,"DENV-2, p=0.5153, n=55"
period_spearman_rho,NA,2,NA,0.07399794450154164,NA,NA,"DENV-1, p=0.3845, n=140"
period_spearman_rho,NA,3,NA,0.14059196617336153,NA,NA,"DENV-2, p=0.3673, n=43"
period_spearman_rho,NA,4,NA,0.47802197802197804,NA,NA,"DENV-1, p=0.1013, n=13"
period_spearman_rho,NA,5,NA,-0.10804648237370316,NA,NA,"DENV-2, p=0.1606, n=170"
period_spearman_rho,NA,6,NA,0.2254901960784314,NA,NA,"DENV-3, p=0.3827, n=17"
period_spearman_rho,NA,7,NA,0.576360225140713,NA,NA,"DENV-2, p=0.0001, n=40"
period_spearman_rho,NA,8,NA,0.10367607162235484,NA,NA,"DENV-3, p=0.3142, n=96"
period_start_end_S_index,NA,1,Start,1.1268424158665389,0.9854139313664071,1.2948518792328139,DENV-2
period_start_end_S_index,NA,1,End,1.4530936198291844,1.2820996239850768,1.6560940689665047,DENV-2
period_start_end_S_index,NA,2,Start,1.097535785209826,0.9768642052124411,1.2400936174144097,DENV-1
period_start_end_S_index,NA,2,End,1.0024430724421682,0.8921733695001383,1.1337078744267397,DENV-1
period_start_end_S_index,NA,3,Start,1.06281053953502,0.9461787175950842,1.1967052722769598,DENV-2
period_start_end_S_index,NA,3,End,1.0592546237169356,0.9367041005064205,1.2003500418123434,DENV-2
period_start_end_S_index,NA,4,Start,0.8870655810262046,0.7751285261603788,1.0170327954858,DENV-1
period_start_end_S_index,NA,4,End,0.6795576064134095,0.5925206948149856,0.781136221848821,DENV-1
period_start_end_S_index,NA,5,Start,0.9449530152881822,0.8296178094801264,1.076254034548455,DENV-2
period_start_end_S_index,NA,5,End,0.9734080462997126,0.8643994649604124,1.0988065360319121,DENV-2
period_start_end_S_index,NA,6,Start,1.1085746040690145,0.980301780198934,1.2589330778084633,DENV-3
period_start_end_S_index,NA,6,End,1.0382008604085258,0.9205472747387788,1.1694943728396237,DENV-3
period_start_end_S_index,NA,7,Start,1.668065252452703,1.4861864550792796,1.8918595236070979,DENV-2
period_start_end_S_index,NA,7,End,0.7866103977343888,0.6925017208344447,0.8957272693218274,DENV-2
period_start_end_S_index,NA,8,Start,0.8936988835716673,0.7876058999099561,1.01618208826918,DENV-3
period_start_end_S_index,NA,8,End,0.9085832898022013,0.8039873238595799,1.026003912516574,DENV-3
