metric,value,p_value
spearman_latent0_vs_fresid,-0.1649167221778708,0.00023538186853505703
spearman_latent1_vs_fresid,-0.09346402581054422,0.03803168324937006
spearman_latent2_vs_fresid,-0.04000211712879885,0.37546058552772876
spearman_latent3_vs_fresid,-0.22335969212100132,5.436345177422211e-07
spearman_PC1_vs_fresid,-0.040251685954087305,0.3724866168907741
spearman_PC2_vs_fresid,-0.19091554453749496,1.976158428214188e-05
frac_switch_in_top20_recon,0.17857142857142858,
mannwhitney_switch_recon_p,24057.0,0.7415640532968496
switch_median_mse,0.017143290489912033,
nonswitch_median_mse,0.016102053225040436,
